Model,Dataset,Atlas,Task,Seed,Accuracy,F1,AUC,AP,BAC,Sensitivity,Specificity,Precision,MCC,Kappa
graphtransformer,ADHD200,ho,DX,789,0.5328467153284672,0.2,0.6237729406743491,0.6664337319210472,0.5487622705932566,0.1126760563380281,0.9848484848484848,0.8888888888888888,0.1966929610826004,0.094401983061351
graphtransformer,ADHD200,cc200,DX,789,0.5474452554744526,0.392156862745098,0.6263337601365769,0.6335386447597657,0.5575117370892019,0.2816901408450704,0.8333333333333334,0.6451612903225806,0.1373579635802174,0.1126201420810697
bnt,ADHD200,ho,DX,1,0.5255474452554745,0.5454545454545454,0.5407597097737942,0.5569828580951747,0.5246478873239437,0.5492957746478874,0.5,0.5416666666666666,0.0493273643817592,0.0493220881819151
bnt,ADHD200,cc200,DX,1,0.5620437956204379,0.4230769230769231,0.5687153222364489,0.5936646572035795,0.5715962441314554,0.3098591549295774,0.8333333333333334,0.6666666666666666,0.1673199547469776,0.1403472076971345
bnt,ADHD200,ho,DX,42,0.5693430656934306,0.5354330708661418,0.5736235595390524,0.5984735343269723,0.5727699530516431,0.4788732394366197,0.6666666666666666,0.6071428571428571,0.1479267478958508,0.1443844606753466
bnt,ADHD200,cc200,DX,42,0.5182481751824818,0.4677419354838709,0.5362782757148954,0.580590894586485,0.5224071702944942,0.4084507042253521,0.6363636363636364,0.5471698113207547,0.0459769941388802,0.0443880786303106
bnt,ADHD200,ho,DX,123,0.5036496350364964,0.4769230769230769,0.5349978659837815,0.5530811571981462,0.5061886470337175,0.4366197183098591,0.5757575757575758,0.5254237288135594,0.0124897442144078,0.0122985581000848
bnt,ADHD200,cc200,DX,123,0.583941605839416,0.5210084033613446,0.5791720017072131,0.612511286391568,0.5895219803670508,0.4366197183098591,0.7424242424242424,0.6458333333333334,0.1875189647437186,0.1768736165278801
bnt,ADHD200,ho,DX,456,0.5328467153284672,0.5076923076923077,0.5160051216389244,0.5452200618458292,0.5354246692274861,0.4647887323943662,0.6060606060606061,0.559322033898305,0.0714930186066106,0.0703986429177269
bnt,ADHD200,cc200,DX,456,0.583941605839416,0.5365853658536586,0.5527102005975245,0.6184325263981701,0.5884549722577892,0.4647887323943662,0.7121212121212122,0.6346153846153846,0.1821554852735764,0.1751346783563958
bnt,ADHD200,ho,DX,789,0.5328467153284672,0.5428571428571428,0.5514297908664105,0.58191981769488,0.532757148954332,0.5352112676056338,0.5303030303030303,0.5507246376811594,0.0654723955712091,0.0654444681304626
bnt,ADHD200,cc200,DX,789,0.583941605839416,0.4672897196261682,0.5766111822449851,0.6019531921809443,0.5927230046948357,0.352112676056338,0.8333333333333334,0.6944444444444444,0.2105264644483444,0.1820467162459411
fbnetgen,ADHD200,ho,DX,1,0.5182481751824818,0.3125,0.5435339308578745,0.5527155852498092,0.5298762270593257,0.2112676056338028,0.8484848484848485,0.6,0.0772997115897927,0.0583211830868568
fbnetgen,ADHD200,cc200,DX,1,0.5255474452554745,0.3925233644859813,0.5793854033290653,0.5844857154056919,0.5342509603072984,0.2957746478873239,0.7727272727272727,0.5833333333333334,0.0777663925062353,0.0672462553681785
fbnetgen,ADHD200,ho,DX,42,0.5547445255474452,0.4077669902912621,0.5418267178830558,0.5937499019319453,0.5645539906103286,0.2957746478873239,0.8333333333333334,0.65625,0.1524700679431884,0.1264764293927042
fbnetgen,ADHD200,cc200,DX,42,0.5036496350364964,0.2765957446808511,0.5542040119504908,0.5915576631820637,0.5157917200170722,0.1830985915492957,0.8484848484848485,0.5652173913043478,0.0422225277292399,0.0307948397836037
fbnetgen,ADHD200,ho,DX,123,0.5328467153284672,0.3469387755102041,0.5618864703371745,0.5662119590345388,0.5439607341015792,0.2394366197183098,0.8484848484848485,0.6296296296296297,0.1104378261024855,0.085904920767306
fbnetgen,ADHD200,cc200,DX,123,0.5036496350364964,0.2608695652173913,0.574690567648314,0.5931983589643368,0.5163252240717029,0.1690140845070422,0.8636363636363636,0.5714285714285714,0.0452847158193527,0.0318021201413426
fbnetgen,ADHD200,ho,DX,456,0.5328467153284672,0.36,0.5813060179257363,0.600654788635907,0.5434272300469484,0.2535211267605634,0.8333333333333334,0.6206896551724138,0.1062386125791886,0.0849509496973491
fbnetgen,ADHD200,cc200,DX,456,0.4963503649635036,0.303030303030303,0.5217669654289372,0.5296642951266323,0.5071489543320529,0.2112676056338028,0.803030303030303,0.5357142857142857,0.0177166414473145,0.0139772608741004
fbnetgen,ADHD200,ho,DX,789,0.4890510948905109,0.2222222222222222,0.5162185232607768,0.5465522227034418,0.5022407170294494,0.1408450704225352,0.8636363636363636,0.5263157894736842,0.0064788861512854,0.0043604651162789
fbnetgen,ADHD200,cc200,DX,789,0.5182481751824818,0.3773584905660377,0.6017925736235595,0.6236502569760907,0.5272087067861716,0.2816901408450704,0.7727272727272727,0.5714285714285714,0.0623454738718876,0.0533919597989949
braingnn,ADHD200,ho,DX,1,0.5912408759124088,0.5942028985507246,0.5836534357661117,0.6200693167562297,0.5917626973965002,0.5774647887323944,0.6060606060606061,0.6119402985074627,0.1834471156703125,0.1831345826235094
braingnn,ADHD200,cc200,DX,1,0.437956204379562,0.1720430107526881,0.4814340588988476,0.4891911685854652,0.450277422108408,0.1126760563380281,0.7878787878787878,0.3636363636363636,-0.1353394832605573,-0.0969117188312362
braingnn,ADHD200,ho,DX,42,0.5401459854014599,0.5116279069767442,0.5934699103713188,0.6257146036093367,0.5430004268032437,0.4647887323943662,0.6212121212121212,0.5689655172413793,0.0869713800758314,0.0854084984634946
braingnn,ADHD200,cc200,DX,42,0.4817518248175182,0.2022471910112359,0.4935979513444302,0.5303231907864564,0.4951984635083226,0.1267605633802817,0.8636363636363636,0.5,-0.0142037048245429,-0.0093390059147036
braingnn,ADHD200,ho,DX,123,0.5255474452554745,0.4444444444444444,0.5381988903115663,0.5653155121258207,0.5315834400341443,0.3661971830985915,0.696969696969697,0.5652173913043478,0.0668330001159185,0.0623354743603242
braingnn,ADHD200,cc200,DX,123,0.5693430656934306,0.4380952380952381,0.6009389671361502,0.616697767648658,0.5786384976525822,0.323943661971831,0.8333333333333334,0.6764705882352942,0.1819316569361104,0.1542324997384117
braingnn,ADHD200,ho,DX,456,0.5255474452554745,0.2857142857142857,0.5874946649594537,0.5905142579742995,0.5385189927443449,0.1830985915492957,0.8939393939393939,0.65,0.109017980092788,0.0749974031370105
braingnn,ADHD200,cc200,DX,456,0.4890510948905109,0.2857142857142857,0.5499359795134442,0.5874486305302107,0.5001067008109261,0.1971830985915492,0.803030303030303,0.5185185185185185,0.0002680529759769,0.000208507089241
braingnn,ADHD200,ho,DX,789,0.5182481751824818,0.34,0.5153649167733675,0.5603291360816249,0.528809218950064,0.2394366197183098,0.8181818181818182,0.5862068965517241,0.0704777036766116,0.0563556668753912
braingnn,ADHD200,cc200,DX,789,0.5328467153284672,0.5223880597014925,0.5520699957319676,0.5474416885556124,0.5343576611182246,0.4929577464788732,0.5757575757575758,0.5555555555555556,0.0688919686005025,0.0684232894177645
braingb,ADHD200,ho,DX,1,0.5182481751824818,0.3888888888888889,0.5480153649167734,0.5824786840268198,0.5266752027315408,0.2957746478873239,0.7575757575757576,0.5675675675675675,0.0600396296281371,0.0523999161601341
braingb,ADHD200,cc200,DX,1,0.5766423357664233,0.5396825396825397,0.6310285958173281,0.6744029277346226,0.5803457106274007,0.4788732394366197,0.6818181818181818,0.6181818181818182,0.163796856639501,0.1593313584426576
braingb,ADHD200,ho,DX,42,0.5547445255474452,0.4786324786324786,0.5951771233461374,0.6204949404175524,0.5608194622279129,0.3943661971830985,0.7272727272727273,0.6086956521739131,0.1286986826556538,0.1200379067073812
braingb,ADHD200,cc200,DX,42,0.5766423357664233,0.4528301886792453,0.6293213828425096,0.6503933803951316,0.585680751173709,0.3380281690140845,0.8333333333333334,0.6857142857142857,0.1963271196828462,0.1681323283082076
braingb,ADHD200,ho,DX,123,0.5109489051094891,0.3853211009174312,0.5804524114383269,0.6013219517068404,0.5190994451557832,0.2957746478873239,0.7424242424242424,0.5526315789473685,0.0426326661457246,0.037538009856349
braingb,ADHD200,cc200,DX,123,0.6131386861313869,0.5691056910569106,0.6472471190781051,0.6598762003260127,0.6176909944515578,0.4929577464788732,0.7424242424242424,0.6730769230769231,0.242361278958691,0.2330199640857715
braingb,ADHD200,ho,DX,456,0.4963503649635036,0.3428571428571428,0.5492957746478873,0.5727454265087439,0.5055484421681604,0.2535211267605634,0.7575757575757576,0.5294117647058824,0.0128364262695763,0.0108820759652611
braingb,ADHD200,cc200,DX,456,0.5985401459854015,0.5736434108527132,0.6421254801536492,0.6574185329719419,0.6014724711907811,0.5211267605633803,0.6818181818181818,0.6379310344827587,0.2052351921888726,0.2015471018332096
braingb,ADHD200,ho,DX,789,0.5985401459854015,0.5132743362831859,0.588348271446863,0.6652182014684476,0.6057405036278276,0.4084507042253521,0.803030303030303,0.6904761904761905,0.2291849338030192,0.2082589051171588
braingb,ADHD200,cc200,DX,789,0.5620437956204379,0.4339622641509434,0.6239863422962013,0.6550611333877119,0.5710627400768247,0.323943661971831,0.8181818181818182,0.6571428571428571,0.1628317082301065,0.1394472361809045
dpm,ADHD200,ho,DX,1,0.4963503649635036,0.0547945205479452,0.6555697823303458,0.6730464888854866,0.5140845070422535,0.028169014084507,1.0,1.0,0.1173521111734685,0.0271688792837293
dpm,ADHD200,cc200,DX,1,0.5620437956204379,0.3877551020408163,0.6444728979940246,0.6463039310279192,0.5731967562953478,0.2676056338028169,0.8787878787878788,0.7037037037037037,0.183884341520158,0.1430358632193494
dpm,ADHD200,ho,DX,42,0.5620437956204379,0.4339622641509434,0.6267605633802817,0.6689863962384914,0.5710627400768247,0.323943661971831,0.8181818181818182,0.6571428571428571,0.1628317082301065,0.1394472361809045
dpm,ADHD200,cc200,DX,42,0.5182481751824818,0.2666666666666666,0.6355100298762271,0.6570968045189045,0.531476739223218,0.1690140845070422,0.8939393939393939,0.631578947368421,0.0910129245061527,0.0612541528239202
dpm,ADHD200,ho,DX,123,0.5036496350364964,0.081081081081081,0.6519419547588561,0.678252402617274,0.5211267605633803,0.0422535211267605,1.0,1.0,0.1442616920005176,0.0407742998352552
dpm,ADHD200,cc200,DX,123,0.5693430656934306,0.404040404040404,0.6468203158344004,0.664766788039225,0.5802390098164746,0.2816901408450704,0.8787878787878788,0.7142857142857143,0.1988494681847841,0.1568791071242308
dpm,ADHD200,ho,DX,456,0.5547445255474452,0.396039603960396,0.6391378574477166,0.67856250039303,0.5650874946649594,0.2816901408450704,0.8484848484848485,0.6666666666666666,0.157280969186683,0.1273885350318472
dpm,ADHD200,cc200,DX,456,0.5474452554744526,0.3541666666666667,0.6500213401621852,0.6515785124323941,0.5591122492530943,0.2394366197183098,0.8787878787878788,0.68,0.1529430007883755,0.1153926265361382
dpm,ADHD200,ho,DX,789,0.5620437956204379,0.4117647058823529,0.6357234314980794,0.6806161952625684,0.5721297481860862,0.2957746478873239,0.8484848484848485,0.6774193548387096,0.1722708411506993,0.141245298788132
dpm,ADHD200,cc200,DX,789,0.6058394160583942,0.5423728813559322,0.6431924882629108,0.656446465555242,0.6117157490396927,0.4507042253521127,0.7727272727272727,0.6808510638297872,0.2351664460037449,0.2206068268015171
lstm,ADHD200,ho,DX,1,0.4817518248175182,0.0,0.5085360648740931,0.4964541042249855,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,cc200,DX,1,0.4817518248175182,0.0,0.5697823303457107,0.5683838362630356,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,ho,DX,42,0.4817518248175182,0.0,0.5185659411011524,0.5134181727511372,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,cc200,DX,42,0.4817518248175182,0.0,0.5761843790012805,0.5998670657852889,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,ho,DX,123,0.4817518248175182,0.0,0.4686299615877081,0.4918277576513813,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,cc200,DX,123,0.4817518248175182,0.0,0.5542040119504908,0.5658843024429874,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,ho,DX,456,0.4817518248175182,0.0,0.5386256935552709,0.5625408035769028,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,cc200,DX,456,0.4817518248175182,0.0,0.4707639778062313,0.5000477461186111,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,ho,DX,789,0.4817518248175182,0.0,0.509816474605207,0.5200682285078787,0.5,0.0,1.0,0.0,0.0,0.0
lstm,ADHD200,cc200,DX,789,0.4817518248175182,0.0,0.5403329065300896,0.5440195817060031,0.5,0.0,1.0,0.0,0.0,0.0
transformer,ADHD200,ho,DX,1,0.5985401459854015,0.5045045045045045,0.5926163038839095,0.6129122208930713,0.6062740076824584,0.3943661971830985,0.8181818181818182,0.7,0.2335835924585446,0.2090899548651202
transformer,ADHD200,cc200,DX,1,0.5328467153284672,0.2888888888888888,0.6325224071702944,0.633267253353297,0.5460947503201025,0.1830985915492957,0.9090909090909092,0.6842105263157895,0.1332799436835864,0.0897009966777407
transformer,ADHD200,ho,DX,42,0.6058394160583942,0.5178571428571429,0.6007255655142979,0.6301529322571675,0.6133162612035852,0.4084507042253521,0.8181818181818182,0.7073170731707317,0.2472838932910976,0.223062381852552
transformer,ADHD200,cc200,DX,42,0.4890510948905109,0.0277777777777777,0.6376440460947503,0.630566067999114,0.5070422535211268,0.0140845070422535,1.0,1.0,0.0826748354553198,0.0135774531989303
transformer,ADHD200,ho,DX,123,0.5985401459854015,0.5045045045045045,0.6022193768672641,0.6313875002837606,0.6062740076824584,0.3943661971830985,0.8181818181818182,0.7,0.2335835924585446,0.2090899548651202
transformer,ADHD200,cc200,DX,123,0.4963503649635036,0.1686746987951807,0.6419120785317969,0.6228357812974414,0.5114169867690994,0.0985915492957746,0.9242424242424242,0.5833333333333334,0.0403586848859679,0.0221371676838729
transformer,ADHD200,ho,DX,456,0.6058394160583942,0.5178571428571429,0.6094750320102432,0.6166395130216475,0.6133162612035852,0.4084507042253521,0.8181818181818182,0.7073170731707317,0.2472838932910976,0.223062381852552
transformer,ADHD200,cc200,DX,456,0.5620437956204379,0.4339622641509434,0.6380708493384549,0.6223808356551148,0.5710627400768247,0.323943661971831,0.8181818181818182,0.6571428571428571,0.1628317082301065,0.1394472361809045
transformer,ADHD200,ho,DX,789,0.6058394160583942,0.5178571428571429,0.6077678190354248,0.6181670409400565,0.6133162612035852,0.4084507042253521,0.8181818181818182,0.7073170731707317,0.2472838932910976,0.223062381852552
transformer,ADHD200,cc200,DX,789,0.4817518248175182,0.0,0.6688006828851898,0.6607349611712325,0.5,0.0,1.0,0.0,0.0,0.0
gru,ADHD200,ho,DX,1,0.4671532846715328,0.0519480519480519,0.5296628254374733,0.5197269791611394,0.4837814767392232,0.028169014084507,0.9393939393939394,0.3333333333333333,-0.0792010925920933,-0.0313499020315564
gru,ADHD200,cc200,DX,1,0.4744525547445255,0.1,0.4980793854033291,0.5200374455057111,0.4902902262057191,0.056338028169014,0.9242424242424242,0.4444444444444444,-0.0391664320755287,-0.0187977690559799
gru,ADHD200,ho,DX,42,0.4744525547445255,0.0,0.5405463081519419,0.5397842244065469,0.4924242424242424,0.0,0.9848484848484848,0.0,-0.0889380805655713,-0.014606048138243
gru,ADHD200,cc200,DX,42,0.4963503649635036,0.1686746987951807,0.5529236022193769,0.578743971524524,0.5114169867690994,0.0985915492957746,0.9242424242424242,0.5833333333333334,0.0403586848859679,0.0221371676838729
gru,ADHD200,ho,DX,123,0.4671532846715328,0.0,0.5157917200170721,0.507224451728497,0.4848484848484848,0.0,0.9696969696969696,0.0,-0.126242422626004,-0.0292271277143152
gru,ADHD200,cc200,DX,123,0.4963503649635036,0.1265822784810126,0.5439607341015792,0.5570225452474603,0.512483994878361,0.0704225352112676,0.9545454545454546,0.625,0.0532040718113078,0.0241560854753793
gru,ADHD200,ho,DX,456,0.4817518248175182,0.0533333333333333,0.4985061886470337,0.5026360734678154,0.4989329918907383,0.028169014084507,0.9696969696969696,0.5,-0.0063334893079839,-0.0020603688060163
gru,ADHD200,cc200,DX,456,0.5109489051094891,0.1518987341772152,0.538625693555271,0.5615270911748682,0.5271020059752454,0.0845070422535211,0.9696969696969696,0.75,0.1155028567527537,0.0524414163311655
gru,ADHD200,ho,DX,789,0.4890510948905109,0.0789473684210526,0.5014938113529663,0.5150025238271959,0.5059752454118651,0.0422535211267605,0.9696969696969696,0.6,0.0318430689411249,0.0115440115440116
gru,ADHD200,cc200,DX,789,0.5036496350364964,0.10526315789473684,0.5932565087494666,0.6243660897448704,0.5205932565087494,0.056338028169014086,0.9848484848484849,0.8,0.10974486260066266,0.03978561121418278
